Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
E100000,Operations,49,106958,0,45,38,No
E100001,Sales,28,57926,18,49,77,Yes
E100002,Marketing,56,133215,21,53,91,Yes
E100003,Operations,49,128707,7,37,42,No
E100004,Engineering,35,43180,2,57,40,No
E100005,Support,31,122837,24,50,90,Yes
E100006,Marketing,37,148070,4,45,46,No
E100007,Marketing,37,66931,22,57,100,Yes
E100008,Operations,52,54014,7,51,51,No
E100009,Finance,46,144775,18,45,76,Yes
E100010,Engineering,34,126472,17,32,62,No
E100011,Operations,27,109872,17,46,72,No
E100012,Engineering,30,88502,20,38,52,No
E100013,Engineering,57,117736,0,54,59,No
E100014,Support,41,35470,14,32,58,No
E100015,Marketing,39,126395,17,49,79,Yes
E100016,Sales,42,44953,24,58,100,Yes
E100017,Support,25,134580,6,36,21,No
E100018,Support,54,68507,15,47,78,Yes
E100019,Engineering,48,148961,15,41,78,Yes
E100020,IT,28,122969,14,48,58,No
E100021,Marketing,27,121493,5,45,61,No
E100022,Finance,36,36523,8,51,73,No
E100023,Support,39,116923,6,56,52,No
E100024,Sales,53,87190,13,53,70,No
E100025,IT,32,77761,10,46,45,No
E100026,IT,41,61169,20,49,82,Yes
E100027,Finance,45,75641,15,44,71,No
E100028,Support,36,52990,24,30,55,No
E100029,Sales,28,59661,5,31,35,No
E100030,Marketing,42,43419,21,37,77,Yes
E100031,HR,47,44457,15,51,82,Yes
E100032,Sales,35,97600,19,54,91,Yes
E100033,Finance,58,133619,15,31,39,No
E100034,IT,42,106102,11,48,62,No
E100035,Marketing,39,63085,16,38,65,No
E100036,Sales,26,127064,4,38,52,No
E100037,HR,24,80654,24,42,82,Yes
E100038,HR,44,36130,12,35,54,No
E100039,Engineering,47,135723,7,59,59,No
E100040,Engineering,58,32042,23,44,71,No
E100041,Operations,45,100134,4,48,37,No
E100042,Finance,40,72982,11,50,62,No
E100043,Support,46,128422,8,44,73,No
E100044,Sales,42,95185,2,47,40,No
E100045,Sales,33,63477,2,36,35,No
E100046,Support,54,144161,0,55,56,No
E100047,Operations,25,82709,24,40,69,No
E100048,IT,28,58716,21,37,66,No
E100049,IT,43,108137,17,35,66,No
E100050,Operations,54,66018,23,37,79,Yes
E100051,IT,38,38061,11,31,23,No
E100052,Engineering,45,38609,8,48,64,No
E100053,Sales,55,65371,8,45,48,No
